"billpay_info_text1_1", "Bitte überweisen Sie den Gesamtbetrag unter Angabe der Billpay-Transaktionsnummer im Verwendungszweck ("
"billpay_info_text1_2", ") innerhalb der Zahlungsfrist auf folgendes Konto:"
"billpay_info_text2_1", "Bitte überweisen Sie den Gesamtbetrag unter Angabe der Billpay-Transaktionsnummer im Verwendungszweck ("
"billpay_info_text2_2", ") bis zum "
"billpay_info_text2_3", " auf folgendes Konto:"
"billpay_form_info", ""
"billpay_credit_check_info", ""
"billpay_invoice_dob_and_gender", "Bitte geben Sie Ihr Geburtsdatum und Ihr Geschlecht ein."
"billpay_invoice_dob", "Bitte geben Sie Ihr Geburtsdatum ein."
"billpay_invoice_gender", "Bitte geben Sie Ihr Geschlecht an."
"accept_terms_notification", "Bitte bestätigen Sie die Billpay AGB"
"internal_error_occured", "Es ist ein interner Fehler aufgetreten. Bitte wählen Sie eine andere Zahlart"
"billpay_connection_failed", "Verbindung zum Billpay Server fehlgeschlagen. Die Stornierung konnte nicht durchgeführt werden. Bitte kontaktieren Sie Ihren Administrator."
"billpay_connection_failed_invoice", "Verbindung zum Billpay Server fehlgeschlagen. Die Rechnungsbenachrichtigung konnte nicht gesendet werden. Bitte kontaktieren Sie Ihren Administrator."
"please_confirm", "Mit der Übermittlung der für die Abwicklung des Rechnungskaufs und einer Identitäts und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s') >Datenschutzbestimmungen</a> von Billpay."
"please_confirm_elv", "Mit der Übermittlung der für die Abwicklung des Kaufs per Lastschrift und einer Identitäts und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s') >Datenschutzbestimmungen</a> von Billpay."
"please_confirm_sepa_elv",    "Mit der Übermittlung der für die Abwicklung der Zahlung und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='_blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s')>Datenschutzbestimmungen</a> von Billpay.<br/><br/>Ich erteile Billpay ein SEPA-Lastschriftmandat (<a href='#' class='bpy-btn-details'>Einzelheiten</a>) zur Einziehung fälliger Zahlungen und weise mein Geldinstitut an, die Lastschriften einzulösen."
"please_confirm_sepa_elv_at", "Mit der Übermittlung der für die Abwicklung der Zahlung und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='_blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s')>Datenschutzbestimmungen</a> von Billpay.<br/><br/>Ich erteile Billpay und der <a href='https://www.privatbank1891.com/' target='_blank'>net-m privatbank 1891 AG</a> ein SEPA-Lastschriftmandat (<a href='#' class='bpy-btn-details'>Einzelheiten</a>) zur Einziehung fälliger Zahlungen und weise mein Geldinstitut an, die Lastschriften einzulösen."
"sepa_additional_information_headline", "Einzelheiten"
"sepa_additional_information_text_elv",    "Die Gläubiger-Identifikationsnummer von Billpay ist DE19ZZZ00000237180. Die Mandatsreferenznummer wird mir zu einem späteren Zeitpunkt per Email zusammen mit einer Vorlage für ein schriftliches Mandat mitgeteilt. Ich werde zusätzlich dieses schriftliche Mandat unterschreiben und an Billpay senden.<br/><br/>Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Geldinstitut vereinbarten Bedingungen. Bitte beachten Sie, dass die fällige Forderung auch bei einer Rücklastschrift bestehen bleibt. Weitere Informationen finden Sie auf <a href='https://www.billpay.de/sepa' target='_blank'>https://www.billpay.de/sepa</a>."
"sepa_additional_information_text_elv_at", "Die Gläubiger-Identifikationsnummer von Billpay ist DE19ZZZ00000237180, die Gläubiger-Identifikationsnummer der net-m privatbank AG ist DE62ZZZ00000009232. Die Mandatsreferenznummer wird mir zu einem späteren Zeitpunkt per Email zusammen mit einer Vorlage für ein schriftliches Mandat mitgeteilt. Ich werde zusätzlich dieses schriftliche Mandat unterschreiben und an Billpay senden.<br/><br/>Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Geldinstitut vereinbarten Bedingungen. Bitte beachten Sie, dass die fällige Forderung auch bei einer Rücklastschrift bestehen bleibt. Weitere Informationen finden Sie auf <a href='https://www.billpay.de/sepa' target='_blank'>https://www.billpay.de/sepa</a>."
"terms", "AGB"
"billpay_page_title", "Billpay AGB"
"billpay_checkout_info", "Kauf auf Rechnung mit Billpay"
"date_of_birth", "Geburtsdatum"
"gender", "Geschlecht"
"female", "weiblich"
"male", "männlich"
"billpay_account_holder", "Kontoinhaber"
"billpay_account_number", "Kontonummer"
"billpay_bank_code", "Bankleitzahl"
"billpay_bank_name", "Geldinstitut"
"billpay_iban", "IBAN"
"billpay_bic", "BIC"
"billpay_invoice_duedate", "Fälligkeitsdatum"
"billpay_invoice_reference", "Verwendungszweck"
"loading_text", "Bitte warten ..."
"billpay_rec", "Kauf auf Rechnung"
"billpay_trusted_shops", "Trusted Shops Käuferschutz"
"billpay_form_info_pdf1", "Bitte überweisen Sie den Gesamtbetrag unter Angabe der Billpay-"
"billpay_form_info_pdf2", "Transaktionsnummer im Verwendungszweck ("
"billpay_form_info_pdf3", ")"
"billpay_form_info_pdf4", " bis zum "
"billpay_form_info_pdf5", " auf folgendes Konto:"
"billpay_rec_step_fee_text", "Gebühr Rechnungskauf"
"billpay_elv_step_fee_text", "Gebühr Lastschrift"
"billpay_rat_step_fee_text", "Gebühr Ratenkauf"
"billpay_step_fee_description","Dieser Artikel wird automatisch in den Warenkorb gelegt, wenn Sie den Rechnungskauf gewählt haben"
"billpay_fee_charged_info1", "Für diese Bestellung wird eine Gebühr von "
"billpay_fee_charged_info2", " erhoben"
"billpay_fee_charged_info3", "Für diese Bestellung wird keine Gebühr erhoben"
"billpay_title_fee_text1", " - zzgl. "
"billpay_title_fee_text2", " Gebühr"
"billpay_debit_info1", "Vielen Dank, dass Sie sich für die Zahlung per Lastschrift mit Billpay " 
"billpay_debit_info2", "entschieden haben. Wir buchen den fälligen Betrag in den nächsten "
"billpay_debit_info3", "Tagen von dem bei der Bestellung angegebenen Konto ab."
"billpay_enter_account_data", "Bitte geben Sie Ihre Bankverbindung ein."
"billpay_elv", "Lastschrift"
"billpay_elv_info_text", "Vielen Dank, dass Sie sich für die Zahlungsart Lastschrift entschieden haben. Der fällige Betrag wird von Ihrem Konto abegbucht, so bald die Bestellung versendet wurde."
