"Account number","Número de cuenta"
"Bank code","Código de identificación bancaria"
"Holder","Titular de la cuenta"
"Amount","Importe"
"Transaction Id: %s","Número de transacción interna de SOFORT AG: %s (Por favor indicar en caso de solicitud de soporte ténico)."
"click to download invoice","Pulse aquí para descargar la factura."
"Transaction Id","Número de transacción"
"Order No.: ","Número de pedido"
"Payment was successful.","Pago realizado. Su número de transacción: %s"
"Payment successfull. Invoice needs to be confirmed.","Pedido a título de compra por factura (previo envío) ha sido transmitido. Acuse de recibo por parte del vendedor no efectuado. Su número de transacción: %s"
"Payment was not successfull","Error al efectuar el pedido."
"Sofortueberweisung payment loaded.","Seleccionado SOFORT Banking como medio de pago. Transacción no concluida."
"Vorkasse by sofort payment loaded.","Seleccionado Vorkasse by SOFORT como medio de pago. Transacción no concluida"
"sofortlastschrift payment loaded.","Seleccionado SOFORT Lastschrift cargo en cuenta como medio de pago. Transacción no concluida"
"Lastschrift by sofort payment loaded.","Seleccionado Lastschrift by SOFORT como medio de pago. Transacción no concluida"
"Rechnung by SOFORT payment loaded.","Seleccionado compra por factura (previo envío) como medio de pago. Transacción no concluida"
"Please fill out the account holder","Por favor rellene las casillas número de cuenta, código de identificación bancaria y titular de cuenta"
"Please fill out the account number","Por favor rellene las casillas número de cuenta, código de identificación bancaria y titular de cuenta"
"Please fill out the bank code","Por favor rellene las casillas número de cuenta, código de identificación bancaria y titular de cuenta"
"Cancelation of payment","El medio de pago seleccionado no es posible o ha sido interrumpido a petición del cliente. Por favor, elija otro modo de pago."
"Customer returned successfully","El cliente regresó prosperamente de sofort.com"
"Project password","Contraseña del proyecto"
"Notification password","Contraseña de aviso"
"Create Invoice","Efectúa factura tras el pago"
"Projekt Id","Número de proyecto"
"User Id","Número de cliente"
"Sofortueberweisung","SOFORT Banking "
"customer protection","SOFORT Banking con protección del comprador"
"Direct payment method of Payment Network AG.","SOFORT Banking es un servicio de pago gratuito de SOFORT AG, con certificación TÜV."
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Pedido con Rechnung by SOFORT"
"Rechnung","Compra por factura previo envío"
"Invoice with payment guarantee.","Compra por factura previo envío con garantía de pago"
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Procedimiento seguro de cargo en cuenta de SOFORT AG "
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Pago anticipado"
"Automated money order system.","Pago anticipado con conciliación automática de pago"
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Domiciliación bancaria (cargo en cuenta)"
"Lastschriftverfahren","Procedimiento automático de cargo en cuenta de SOFORT AG "
"sofortueberweisung and other sofort-products","SOFORT Banking y otros productos de SOFORT"
"More","Más información"
"Error while saving this configuration: ","Error al guardar"
"Item was successfully saved","ha sido guardado/a"
"Item was successfully saved, order can not change","ha sido transmitido/a. Pedido no ha podido ser ajustado"
"Edit Cart","Editar cesta de la compra"
"Update Invoice","guardar factura editada"
"Your benefit:","Sus ventajas:"
"Certified payment method","<ul><li>Sistema de pago con protección de datos con certificacion TÜV</li><li>No es necesario registrarse</li><li>Producto/servicio será enviado rápidamente en caso de disponibilidad</li><li>Por favor, tenga a mano los datos de acceso de su banca online (datos de acceso y claves de confirmación) </li></ul>"
"Certified payment method, direct debit","<ul><li>Sistema de pago con protección de datos con certificacion técnica TÜV</li><li>No es necesario registrarse</li><li>Producto/servicio puede ser enviado rápidamente </li><li>Por favor, tenga a mano los datos de acceso de su banca online </li></ul>"
"Help","Ayuda"
"Learn More","Más información"
"Sort sequence","El orden de visualización"
"Activate module","Módulo activado"
"Label","Denominación"
"Payment from applicable countries","Limitar países"
"Payment from Specific countries","Limitar países"
"Money received.","Pago"
"Customer returned payment","En esta transacción no consta operación que no pueda ser ejecutada correctamente "
"Please pay to the following account","Por favor utilice los siguientes datos para la transferencia"
"Your order # is: %s.","Su número de pedido es el: %s "
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá acuse de recibo del pedido por correo electrónico con todos los detalles de su pedido y un enlace para seguir el curso de su pedido"
"Reason","Propósito"
"Reason 2","Propósito 2"
"Please confirm our privacy policy.","Por favor, acepte los avisos de protección de datos"
"The invoice has been canceled.","La factura ha sido anulada. Nota de abono efectuada"
"Configuration key","Clave de configuración"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","La factura ha sido anulada %s"
"Successfully canceled invoice. Credit memo created: %s","La factura ha sido anulada. Nota  de abono efectuada %s"
"Banner or text","Logotipo o texto al elegir las opciones de pago"
"All products deactivated due to errors, initiation aborted.","La operación ha sido cancelada a causa de un error"
"Must not be empty.","Los datos son incompletos o erróneos. Por favor, corríjalos o contacte con el gestor de la tienda."
"Not in list of valid values.","No en área de valores vigentes."
"Must be a positive number.","El valor ha de ser positivo."
"Unsupported currency.","De momento sólo se sustentarán pedidos en euro. Por favor corríjalo e inténtelo de nuevo."
"Amount is out of range.","El importe total es muy elevado o muy bajo. Por favor, corríjalo o contacte con el gestor de la tienda."
"Invalid characters.","Caracteres desconocidos."
"Maximum length of 27 characters exceeded.","Superado el máximo número de caracteres (máx. 27)."
