"billpay_info_text1_1", "Veuillez effectuer le virement de la somme totale, en indiquant le numéro de transaction Billpay dans le libellé du virement ("
"billpay_info_text1_2", ") sur le compte suivant:"
"billpay_info_text2_1", "Veuillez effectuer le virement de la somme totale, en indiquant le numéro de transaction Billpay dans le libellé du virement ("
"billpay_info_text2_2", ") jusqu’au "
"billpay_info_text2_3", " sur le compte suivant:"
"billpay_form_info", ""
"billpay_credit_check_info", ""
"billpay_invoice_dob_and_gender", "Veuillez indiquer votre date de naissance et votre sexe."
"billpay_invoice_dob", "Veuillez indiquer votre date de naissance"
"billpay_invoice_gender", "Veuillez indiquer votre sexe"
"accept_terms_notification", "Veuillez accepter les CGV de Billpay"
"internal_error_occured", "Une erreur interne est survenue. Veuillez choisir un autre mode de paiement."
"billpay_connection_failed", "La connexion au serveur de Billpay a échoué. L'annulation ne peut être réalisée. S'il vous plaît contactez votre administrateur."
"billpay_connection_failed_invoice", "La notification du projet de loi n'a pu être envoyé. S'il vous plaît contactez votre administrateur."
"please_confirm", "Je suis d'accord pour que les données permettant un contrôle d'identité et de solvabilité demandées dans le cadre d'un achat sur facture soient transmises à <a href='https://www.billpay.de/endkunden' target='blank'>Billpay GmbH</a>. Ici s'applique <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s') >la convention sur la protection des données</a> de Billpay."
"please_confirm_sepa_elv",    "Mit der Übermittlung der für die Abwicklung der Zahlung und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='_blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s')>Datenschutzbestimmungen</a> von Billpay.<br/><br/>Ich erteile Billpay ein SEPA-Lastschriftmandat (<a href='#' class='bpy-btn-details'>Einzelheiten</a>) zur Einziehung fälliger Zahlungen und weise mein Geldinstitut an, die Lastschriften einzulösen."
"please_confirm_sepa_elv_at", "Mit der Übermittlung der für die Abwicklung der Zahlung und einer Identitäts- und Bonitätsprüfung erforderlichen Daten an die <a href='https://www.billpay.de/endkunden' target='_blank'>Billpay GmbH</a> bin ich einverstanden. Es gelten die <a href='javascript:void(0)' onclick=showBillpayPrivacyPopup('%1$s')>Datenschutzbestimmungen</a> von Billpay.<br/><br/>Ich erteile Billpay und der <a href='https://www.privatbank1891.com/' target='_blank'>net-m privatbank 1891 AG</a> ein SEPA-Lastschriftmandat (<a href='#' class='bpy-btn-details'>Einzelheiten</a>) zur Einziehung fälliger Zahlungen und weise mein Geldinstitut an, die Lastschriften einzulösen."
"sepa_additional_information_headline", "Einzelheiten"
"sepa_additional_information_text_elv",    "Die Gläubiger-Identifikationsnummer von Billpay ist DE19ZZZ00000237180. Die Mandatsreferenznummer wird mir zu einem späteren Zeitpunkt per Email zusammen mit einer Vorlage für ein schriftliches Mandat mitgeteilt. Ich werde zusätzlich dieses schriftliche Mandat unterschreiben und an Billpay senden.<br/><br/>Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Geldinstitut vereinbarten Bedingungen. Bitte beachten Sie, dass die fällige Forderung auch bei einer Rücklastschrift bestehen bleibt. Weitere Informationen finden Sie auf <a href='https://www.billpay.de/sepa' target='_blank'>https://www.billpay.de/sepa</a>."
