"Account number","Rekeningnummer"
"Bank code","Bankcode"
"Holder","Rekeninghouder"
"Amount","Bedrag"
"Transaction Id: %s","Interne transactie-ID van SOFORT AG: %s (gelieve aan te geven bij aanvragen voor assistentie)."
"click to download invoice","Hier klikken om de rekening te downloaden."
"Transaction Id","Transactie-ID"
"Order No.: ","Bestelnummer"
"Payment was successful.","Betaling geslaagd. Uw transactie-ID: %s"
"Payment successfull. Invoice needs to be confirmed.","Bestelling met koop op rekening succesvol doorgegeven. Handelaar heeft nog niet bevestigd. Uw transactie-ID: %s"
"Payment was not successfull","Er is een fout opgetreden gedurende uw bestelling."
"Sofortueberweisung payment loaded.","SOFORT Banking als wijze van betaling gekozen. Transactie niet afgesloten."
"Vorkasse by sofort payment loaded.","Vorkasse by SOFORT als wijze van betaling gekozen. Transactie niet afgesloten."
"sofortlastschrift payment loaded.","SOFORT Lastschrift  als wijze van betaling gekozen. Transactie niet afgesloten."
"Lastschrift by sofort payment loaded.","Lastschrift by SOFORT als wijze van betaling gekozen. Transactie niet afgesloten."
"Rechnung by SOFORT payment loaded.","Kopen op rekening als wijze van betaling gekozen. Transactie niet afgesloten."
"Please fill out the account holder","De velden voor rekeningnummer, bankcode en rekeninghouder volledig invullen."
"Please fill out the account number","De velden voor rekeningnummer, bankcode en rekeninghouder volledig invullen."
"Please fill out the bank code","De velden voor rekeningnummer, bankcode en rekeninghouder volledig invullen."
"Cancelation of payment","De gekozen wijze van betaling is niet mogelijk of is op verzoek van de klant  beëindigd. Kies een andere wijze van betaling."
"Customer returned successfully","Klant kwam succesvol terug van sofort.com"
"Project password","Project-wachtwoord"
"Notification password","Kennisgevings-wachtwoord"
"Create Invoice","Rekening genereren na betaling"
"Projekt Id","Project-nummer"
"User Id","Klant-nummer"
"Sofortueberweisung","SOFORT Banking "
"customer protection","SOFORT Banking met koperbescherming"
"Direct payment method of Payment Network AG.","SOFORT Banking is een gratis en door de TÜV gecertificeerde betaaldienst van de SOFORT AG."
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Bestl. met Rechnung by SOFORT"
"Rechnung","Kopen op rekening"
"Invoice with payment guarantee.","Kopen op rekening met betalingsgarantie."
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Het veilige incasso systeem van SOFORT AG"
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Vooruitbetaling"
"Automated money order system.","Vooruitbetaling met geautomatiseerde vereffening"
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Automatische incasso"
"Lastschriftverfahren","Geautomatiseerd incasso systeem van SOFORT AG."
"sofortueberweisung and other sofort-products","SOFORT Banking en andere SOFORT producten"
"More","meer informatie"
"Error while saving this configuration: ","fouten bij het opslaan:"
"Item was successfully saved","succesvol opgeslagen."
"Item was successfully saved, order can not change","succesvol doorgegeven, de bestelling kon niet aangepast worden"
"Edit Cart","Winkelwagen bewerken"
"Update Invoice","Vervaardigde rekening opslaan"
"Your benefit:","Uw voordelen:"
"Certified payment method","<ul><li>Betaalsysteem met TÜV geteste privacy bescherming</li><li>Geen registratie nodig</li><li>Goederen/diensten worden, indien beschikbaar, direct verzonden</li><li>Houd uw online-banking gegevens (PIN/TAN) gereed</li><li>"
"Certified payment method, direct debit","<ul><li>Betaalsysteem met TÜV geteste privacy bescherming</li><li>Geen registratie nodig</li><li>Goederen/diensten worden, indien beschikbaar, direct verzonden</li><li>Houd uw online-banking gegevens (PIN/TAN) gereed</li><li>"
"Help","Hulp"
"Learn More","meer informatie"
"Sort sequence","advertentie volgorde"
"Activate module","module geactiveerd"
"Label","betekenis"
"Payment from applicable countries","landen beperken"
"Payment from Specific countries","landen beperken"
"Money received.","Ingang van betaling."
"Customer returned payment","Er is voor deze transactie geen terugboeking gemaakt"
"Please pay to the following account","Gebruik de volgende overboekingsgegevens"
"Your order # is: %s.","Uw bestelnummer luidt: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een bevestiging met de details van uw bestelling per e-mail en een link voor de status verwerking."
"Reason","Beoogd gebruik"
"Reason 2","Beoogd gebruik 2"
"Please confirm our privacy policy.","Accepteer de regels voor privacy bescherming."
"The invoice has been canceled.","De rekening werd geannuleerd. Creditnota gemaakt."
"Configuration key","Configuratie sleutel"
"Successfully confirmed invoice: %s","%s"
"Successfully canceled invoice: %s","De rekening werd gestorneerd %s"
"Successfully canceled invoice. Credit memo created: %s","De rekening werd gestorneerd %s. Creditnota gamaakt. %s"
"Banner or text","Banner of tekst bij de keuze van betaalmogelijkheden"
"All products deactivated due to errors, initiation aborted.","I.v.m. fouten is de bewerking afgebroken."
"Must not be empty.","De gegevens zijn niet juist of onvolledig. Corrigeer deze of contacteer de winkelier."
"Not in list of valid values.","Niet binnen het bereik van geldige waarden."
"Must be a positive number.","De waarde moet positief zijn."
"Unsupported currency.","Momenteel worden alleen bestellingen in Euro ondersteund. Corrigeer dit en probeer het opnieuw."
"Amount is out of range.","Het totale bedrag is te groot of te klein. Corrigeer dit of contacteer de winkelier."
"Invalid characters.","Onbekende tekens."
"Maximum length of 27 characters exceeded.","Maximale aantal tekens overschreden (max. 27)."
"Invalid email address.","De bestelling kan niet uitgevoerd worden omdat het e-mail adres onjuist is. Corrigeer dit en probeer het opnieuw."
"Invalid phone number.","De bestelling kan niet uitgevoerd worden omdat het telefoonnummer onjuist is. Corrigeer dit en probeer het opnieuw."
"Invalid country code.","De landcode wordt niet ondersteund, contacteer uw winkelier."
"Unsupported country code.","De aangegeven BIC in ongeldig."
"Invalid BIC.","De bestelling kan door een ongeldige BIC (Bank Identifier Code) niet uitgevoerd worden. Corrigeer dit en probeer het opnieuw."
"Only German addresses (DE) are supported.","De bestelling kan door een onjuiste landcode niet uitgevoerd worden. Het verzend-/rekeningsadres moet in Duitsland zijn. Corrigeer dit en probeer het opnieuw."
"Product only supports German sender accounts.","Alleen duitse rekeningen worden ondersteund. Corrigeer dit of kies een andere wijze van betaling."
"Invoice amount exceeds amount limit in factoring contract.","Het totale bedrag is te hoog. Corrigeer dit en probeer het opnieuw."
"Invoice amount is lower than minimum amount defined in project settings.","Het totale bedrag is te laag. Corrigeer dit en probeer het opnieuw."
"Invalid tax, allowed values are: 7, 19.","De waarde voor de BTW is niet juist. Geldige waarden: 0, 7, 19."
"Validation of given bank account and bank code failed.","De validatie van het rekeningnummer en de bankcode is mislukt."
"Maximum length of 255 characters exceeded.","Het maximale aantal van 255 tekens werd overschreden."
"Invalid items found.","De aanvraag bevatte ongeldige gegevens in de winkelwagen. Corrigeer dit of contacteer de winkelier."
"Payment not possible with this service.","Geef tenminste de rekeninghouder aan en probeer het dan opnieuw."
"Transaction with same data already created.","Een transactie met de door u verstrekte gegevens bestaat reeds."
"This service is currently only accessible by non-commercial customers.","Kopen op rekening is momenteel alleen beschikbaar voor privé klanten."
"Version Number","Afleveringsnummer"
"https://images.sofort.com/de/su/landing.php","https://images.sofort.com/nl/su/landing.php"
"https://images.sofort.com/de/su/banner_150x200.png","https://images.sofort.com/nl/su/banner_150x200.png"
"https://images.sofort.com/de/sl/logo_155x50.png","https://images.sofort.com/nl/sl/logo_155x50.png"
"https://images.sofort.com/de/sl/banner_300x100.png","https://images.sofort.com/nl/sl/banner_300x100.png"
"https://images.sofort.com/de/su/logo_155x50.png","https://images.sofort.com/nl/su/logo_155x50.png"
"https://images.sofort.com/de/su/banner_400x100_ks.png","https://images.sofort.com/nl/su/banner_400x100_ks.png"
"https://images.sofort.com/de/su/banner_300x100.png","https://images.sofort.com/nl/su/banner_300x100.png"
"Kauf auf Rechnung not allowed for downloadable or virtual products","Virtuele producten kunnen niet op rekening gekocht worden."
"Successfully edit invoice.","Rekening succesvol verwerkt."
"Could not edit invoice.","Rekening kan niet verwerkt worden."
"The invoice has been edit.","De rekening werd aangepast."
"quantity increase is not allowed","U kunt geen artikel meer toevoegen"
"price increase is not allowed","U kunt de prijs niet verhogen"
"your invoice amount will automatically be deducted from your your bank account.","Uw bankrekening wordt door automatische incasso gedebiteerd"
"number","Factuurnummer"
"bank_holder","Rekeninghouder"
"bank_account_number","Rekeningnummer"
"bank_code","Bankcode"
"bank_name","Kredietinstellingen"
"reason","beoogd gebruik"
"date","Factuurdatum"
"due_date","Vervaldatum"
"debitor_text","Tekst voor claim overdracht"
"Amount increase not allowed","Het factuurbedrag mag niet hoger zijn dan het oorspronkelijke bedrag."
"Amount have to be positive","Het factuurbedrag moet positief zijn."
"Invoice will be canceled","Let op: de factuur wordt nu gestorneerd."
"Old Amount:","Voorgaand totaal bedrag:"
"New Amount:","Nieuw totaal bedrag:"
"Holding order status","Tijdelijke bestelstatus (Definieer de status voor bestellingen die nog niet betaald zijn)."
"Confirmed order status","Bevestigde bestelstatus (Definieer de status voor bestellingen, die door SOFORT Banking succesvol afgesloten zijn)."
"Loss order status","Bestelstatus van niet betaalde bestellingen (Definieer de status voor bestellingen die een controle benodigen)."
"Refund order status","Bestelstatus bij vergoeding (Definieer de status voor bestellingen die vergoed worden)."
"Unconfirmed order status","Definieer de status voor bestellingen, die bevestigd moeten worden door de aanbieder (om de claim aankoop uit te voeren)."
"Confirmed invoice order status","Bevestigde bestelstatus (Definieer de status voor bestellingen, die door de aanbieder bevestigd zijn)."
"reason_help","Placeholder:<br/><ul><li>Bestelnummer: {{ordernr}}</li><li>Customername: {{name}}</li><li>Factuurdatum: {{date}}</li><li>Shopname: {{shopname}}</li><li>Transaction: {{transaction}}</li></ul>"

