"Account number","Numer konta"
"Bank code","Numer rozliczeniowy banku "
"Holder","Właściciel konta"
"Amount","Kwota "
"Transaction Id: %s","Wewnętrzny numer transakcji SOFORT AG: %s (podaj w przypadku pytań do działu obsługi klienta)."
"click to download invoice","Kliknij tutaj, aby pobrać rachunek."
"Transaction Id","ID transakcji "
"Order No.: ","Numer zamówienia"
"Payment was successful.","Zapłata została zrealizowana pomyślnie. Twoje ID transakcji: %s"
"Payment successfull. Invoice needs to be confirmed.","Zamówienie z zakupem na rachunek zostało przekazane pomyślnie. Nie odnotowano jeszcze potwierdzenia sprzedawcy. Twoje ID transakcji: %s"
"Payment was not successfull","Podczas realizacji zamówienia wystąpił błąd. "
"Sofortueberweisung payment loaded.","Wybrałeś SOFORT Banking jako metodę płatności. Transakcja nie została zakończona. "
"Vorkasse by sofort payment loaded.","Wybrałeś Vorkasse by SOFORT jako metodę płatności. Transakcja nie została zakończona."
"sofortlastschrift payment loaded.","Wybrałeś SOFORT Lastschrift jako metodę płatności. Transakcja nie została zakończona. "
"Lastschrift by sofort payment loaded.","Wybrałeś Lastschrift by SOFORT jako metodę płatności. Transakcja nie została zakończona."
"Rechnung by SOFORT payment loaded.","Wybrałeś zamówienie z zakupem na rachunek jako metodę płatności. Transakcja nie została zakończona."
"Please fill out the account holder","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Please fill out the account number","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Please fill out the bank code","Wypełnij kompletnie pola numer konta, numer rozliczeniowy banku i właściciel konta. "
"Cancelation of payment","Wybrana metoda płatności nie jest niestety możliwa lub została przerwana na życzenie klienta. Wybierz inną metodę płatności. "
"Customer returned successfully","Klient wrócił pomyślnie ze strony sofort.com "
"Project password","Hasło projektu "
"Notification password","Hasło do powiadomień "
"Create Invoice","Wygeneruj rachunek po dokonaniu zapłaty "
"Projekt Id","Numer projektu "
"User Id","Numer klienta"
"Sofortueberweisung","SOFORT Banking"
"customer protection","SOFORT Banking z ochroną kupującego "
"Direct payment method of Payment Network AG.","SOFORT Banking jest to bezpłatna i certyfikowana przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) usługa płatności firmy SOFORT AG. "
"Rechnung by sofort","Rechnung by SOFORT"
"Orders with Rechnung by sofort","Zamówienie z Rechnung by SOFORT"
"Rechnung","Zakup na rachunek"
"Invoice with payment guarantee.","Zakup na rachunek z gwarancją zapłaty."
"sofortlastschrift","SOFORT Lastschrift"
"Secure direct debit system.","Bezpieczna procedura polecenia zapłaty firmy SOFORT AG."
"Vorkasse by sofort","Vorkasse by SOFORT"
"Vorkasse","Płatność z góry "
"Automated money order system.","Płatność z góry z automatycznym potwierdzeniem wpłaty."
"Lastschrift by sofort","Lastschrift by SOFORT"
"Lastschrift","Obciążenie rachunku (polecenie zapłaty) "
"Lastschriftverfahren","Automatyczna procedura polecenia zapłaty firmy SOFORT AG."
"sofortueberweisung and other sofort-products","SOFORT Banking i inne produkty SOFORT "
"More","więcej informacji "
"Error while saving this configuration: ","Błąd podczas zapisywania danych.: "
"Item was successfully saved","dane zostały zapisane pomyślnie. "
"Item was successfully saved, order can not change","przekazano pomyślnie, zamówienie nie mogło zostać dopasowane. "
"Edit Cart","Opracować koszyk "
"Update Invoice","zapisać opracowaną fakturę "
"Your benefit:","Twoje korzyści: "
"Certified payment method","<ul><li>Atestowana przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) ochrona danych osobowych</li><li>Brak konieczności rejestracji klienta</li><li>Dostępny towar/usługa zostaną natychmiast wysłane</li><li>Przygotuj Twoje dane bankowości internetowej (hasło i jednorazowy kod weryfikacyjny)</li></ul>"
"Certified payment method, direct debit","<ul><li> System płatności z atestowaną przez TÜV (Niemieckie Stowarzyszenie Nadzoru Technicznego) ochroną danych osobowych </li><li> Brak konieczności rejestracji klienta </li><li> Towar/usługa mogą zostać natychmiast wysłane</li><li>Przygotuj hasło logowania do Twojej bankowości internetowej</li></ul>"
"Help","Pomoc "
"Learn More","więcej informacji "
"Sort sequence","Kolejność wyświetlania "
"Activate module","Moduł aktywowany "
"Label","Nazwa "
"Payment from applicable countries","Ograniczyć kraje"
"Payment from Specific countries","Ograniczyć kraje"
"Money received.","Nadejście płatności. "
"Customer returned payment","Transakcja ta obciążona jest zwrotnym poleceniem obciążenia konta.  "
"Please pay to the following account","Użyj następujących danych przelewu"
"Your order # is: %s.","Numer Twojego zamówienia: %s."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Otrzymasz potwierdzenie e-mailem odnośnie szczegółów Twojego zamówienia oraz link internetowy z informacją o statusie realizacji."
"Reason","Tytuł przelewu "
"Reason 2","Tytuł przelewu 2"
"Please confirm our privacy policy.","Potwierdź, że zapoznałeś się z treścią pouczenia dot. ochrony danych osobowych."
"The invoice has been canceled.","Faktura została anulowana. Zapis na koncie został wygenerowany. "
